"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12,C13";"C_0402_1005Metric";2;"1uF";;;
2;"C14,C10,C18,C11,C23,C20,C19,C16,C2,C15,C1,C17";"C_0402_1005Metric";12;"100nF";;;
3;"L2";"L_0402_1005Metric";1;"47nH";;;
4;"AE1";"PinSocket_1x01_P2.54mm_Vertical";1;"Antenna";;;
5;"L1";"L_0402_1005Metric";1;"15uH";;;
6;"R8,R7";"R_0402_1005Metric";2;"5.1K";;;
7;"FL1";"Balun_Johanson_0900FM15K0039";1;"0900FM15D0039001E";;;
8;"R2,R3";"R_0402_1005Metric";2;"1K";;;
9;"C6";"C_0402_1005Metric";1;"1nF";;;
10;"C4";"C_0402_1005Metric";1;"47nF";;;
11;"U5";"SOT-23-5";1;"AP2112K-3.3";;;
12;"U1";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"SX1262IMLTRT";;;
13;"R9,R10";"R_0402_1005Metric";2;"4.7K";;;
14;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
15;"L3";"L_0402_1005Metric";1;"9.1nH";;;
16;"C3";"C_0402_1005Metric";1;"470nF";;;
17;"C5";"C_0402_1005Metric";1;"47pF";;;
18;"C24,C25";"C_0402_1005Metric";2;"10uF";;;
19;"R1";"R_0402_1005Metric";1;"100";;;
20;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"32MHz";;;
21;"C21,C22";"C_0402_1005Metric";2;"15pF";;;
22;"BOOTSEL";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"SW_Push";;;
23;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
24;"R5,R6";"R_0402_1005Metric";2;"27.4";;;
25;"C7";"C_0402_1005Metric";1;"39pF";;;
26;"U3";"SOT-363_SC-70-6";1;"PE4259";;;
27;"R4";"R_0402_1005Metric";1;"10K";;;
28;"FB1";"L_0402_1005Metric";1;"BLM15AX102SN1D";;;
29;"RESET";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"RESET";;;
30;"U4";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
31;"C9,C8";"C_0402_1005Metric";2;"3.3pF";;;
32;"Y2";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"12MHz";;;
33;"U2";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
